"Mind Map","Create a sheet from","Ctrl+Alt+T","Editing Mind Map"
"Window","Show Key Assist","Shift+Ctrl+Д","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Edit","Font","Ctrl+Е","In Notes View"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 1)","Ctrl+1","Editing Mind Map"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 4)","Ctrl+4","Editing Mind Map"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Edit","Left Alignment","Ctrl+Д","In Notes Popup Dialog"
"Mind Map","Create Boundary","Ctrl+И","Editing Mind Map"
"File","Print","Ctrl+P","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Mind Map","Map Shot","F7","In MindMap Editor"
"Text Edit","Right Alignment","Ctrl+R","In Notes View"
"Mind Map","Edit Label","F3","Editing Mind Map"
"Mind Map","Create Boundary","Ctrl+B","Editing Mind Map"
"File","Close","Ctrl+F4","In Windows"
"Mind Map","New Workbook","Ctrl+Т","In Dialogs and Windows"
"Edit","Find and Replace","Esc R","In Windows"
"Mind Map","Insert Topic","Enter","Editing Mind Map"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"File","Properties","Alt+Enter","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Mind Map","New Sheet","Ctrl+T","Editing Mind Map"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Mind Map","Go Home","Ctrl+Home","In MindMap Editor"
"Window","Switch to Editor","Shift+Ctrl+У","In Windows"
"Mind Map","Insert Image","Ctrl+I","Editing Mind Map"
"Mind Map","New Workbook","Ctrl+N","In Dialogs and Windows"
"Navigate","Previous","Ctrl+Б","In Windows"
"Edit","Redo","Ctrl+X R","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Text Edit","Center Alignment","Ctrl+D","In Notes Popup Dialog"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Edit","Undo","Ctrl+X U","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"View","Start Brainstorming","F8","In MindMap Editor"
"View","Select Children","Ctrl+Alt+А","In MindMap Editor"
"Edit","Undo","F9","In Windows"
"Text Edit","Right Alignment","Ctrl+К","In Notes View"
"Text Edit","Left Alignment","Ctrl+L","In Notes View"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"View","Select Brothers","Shift+Ctrl+A","In MindMap Editor"
"File","Close","Ctrl+W","In Windows"
"Mind Map","Traverse","Shift+Tab","Editing Mind Map"
"Window","New From Template","Ctrl+Alt+Т","In Windows"
"Mind Map","Create Summary","Ctrl+Ъ","Editing Mind Map"
"Edit","Redo","Shift+Ctrl+Я","In Dialogs and Windows"
"Mind Map","Extend All","*","Editing Mind Map"
"View","Zoom In","Ctrl++","In MindMap Editor"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Window","Activate Editor","F12","In Windows"
"Mind Map","Create Summary","Ctrl+]","Editing Mind Map"
"Text Edit","Font","Ctrl+T","In Notes View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Mind Map","Extend","+","Editing Mind Map"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"View","Zoom In","Ctrl+=","In MindMap Editor"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Window","New From Template","Ctrl+Alt+N","In Windows"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"File","Close","Ctrl+X K","In Windows"
"View","Zoom Out","Ctrl+-","In MindMap Editor"
"Edit","Copy","Esc W","In Dialogs and Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Next","Ctrl+Ю","In Windows"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 3)","Ctrl+3","Editing Mind Map"
"Mind Map","Edit Notes","F4","Editing Mind Map"
"Text Edit","Underline","Ctrl+Г","In Notes Popup Dialog"
"Mind Map","Insert Topic Before","Shift+Enter","Editing Mind Map"
"Text Edit","Underline","Ctrl+U","In Notes View"
"Text Edit","Right Alignment","Ctrl+R","In Notes Popup Dialog"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 2)","Ctrl+2","Editing Mind Map"
"Window","Show Key Assist","Shift+Ctrl+L","In Windows"
"Edit","Find and Replace","Ctrl+А","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Mind Map","Move Down","Alt+Down","Editing Mind Map"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Mind Map","Insert Parent Topic","Ctrl+Enter","Editing Mind Map"
"Window","New XMind Workbook","Shift+Ctrl+N","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Mind Map","Create Relationship","Ctrl+L","Editing Mind Map"
"File","Save","Ctrl+S","In Windows"
"Text Edit","Underline","Ctrl+U","In Notes Popup Dialog"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Mind Map","Create a sheet from","Ctrl+Alt+Е","Editing Mind Map"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Edit","Italic","Ctrl+Ш","In Notes View"
"Mind Map","Traverse","Shift+Tab","Traversing"
"Mind Map","Modify Topic Hyperlink","Ctrl+Р","Editing Mind Map"
"Mind Map","Go to Notes View","F4","In Notes Popup Dialog"
"Mind Map","Edit Title","F2","Editing Mind Map"
"Text Edit","Center Alignment","Ctrl+В","In Notes View"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 5)","Ctrl+5","Editing Mind Map"
"Text Edit","Center Alignment","Ctrl+В","In Notes Popup Dialog"
"Text Edit","Center Alignment","Ctrl+D","In Notes View"
"Text Edit","Left Alignment","Ctrl+Д","In Notes View"
"Edit","Undo","Ctrl+Я","In Dialogs and Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Mind Map","Modify Topic Hyperlink","Ctrl+H","Editing Mind Map"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Edit","Underline","Ctrl+Г","In Notes View"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Window","Maximize Active View or Editor","Ctrl+Ь","In Windows"
"Text Edit","Bold","Ctrl+И","In Notes View"
"Text Edit","Right Alignment","Ctrl+К","In Notes Popup Dialog"
"Mind Map","Insert Image","Ctrl+Ш","Editing Mind Map"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Edit","Select All","Ctrl+Ф","In Dialogs and Windows"
"Text Edit","Italic","Ctrl+I","In Notes View"
"Mind Map","Insert Subtopic","Tab","Editing Mind Map"
"Navigate","Expand All","Shift+Ctrl+Т","In Windows"
"Edit","Paste","Ctrl+М","In Dialogs and Windows"
"Mind Map","Open Workbook","Ctrl+Щ","In Windows"
"File","Save All","Ctrl+X S","In Windows"
"Mind Map","New Sheet","Ctrl+Е","Editing Mind Map"
"Edit","Context Information","Alt+?","In Windows"
"View","Actual Size","Ctrl+0","In MindMap Editor"
"View","Select Children","Ctrl+Alt+A","In MindMap Editor"
"Text Edit","Bold","Ctrl+B","In Notes Popup Dialog"
"File","Save","Ctrl+Ы","In Windows"
"Window","Quick Switch Editor","Ctrl+У","In Windows"
"Edit","Context Information","Shift+Alt+?","In Windows"
"File","Print","Alt+F9","In Windows"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 6)","Ctrl+6","Editing Mind Map"
"Mind Map","Open Workbook","Ctrl+O","In Windows"
"Mind Map","Move Up","Alt+Up","Editing Mind Map"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Edit","Left Alignment","Ctrl+L","In Notes Popup Dialog"
"Edit","Redo","F10","In Windows"
"Mind Map","Move Right","Alt+Right","Editing Mind Map"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Edit","Italic","Ctrl+I","In Notes Popup Dialog"
"Edit","Cut","Ctrl+Ч","In Dialogs and Windows"
"Text Edit","Bold","Ctrl+B","In Notes View"
"Window","New XMind Workbook","Shift+Ctrl+Т","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"View","Select Brothers","Shift+Ctrl+Ф","In MindMap Editor"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Mind Map","Collapse All","/","Editing Mind Map"
"Mind Map","Commit Notes","Ctrl+Enter","In Notes View"
"View","Drill Down","F6","In MindMap Editor"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"File","Rename","F2","In Windows"
"Edit","Delete","Delete","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"File","Print","Ctrl+З","In Windows"
"Text Edit","Bold","Ctrl+И","In Notes Popup Dialog"
"Text Edit","Italic","Ctrl+Ш","In Notes Popup Dialog"
"File","Close All","Shift+Ctrl+Ц","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Mind Map","Create Relationship","Ctrl+Д","Editing Mind Map"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Mind Map","Collapse","-","Editing Mind Map"
"Mind Map","Commit Notes","Ctrl+Enter","In Notes Popup Dialog"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"View","Start Presentation","F5","In MindMap Editor"
"File","Save All","Shift+Ctrl+Ы","In Windows"
"View","Drill Up","Shift+F6","In MindMap Editor"
"Mind Map","Move Left","Alt+Left","Editing Mind Map"
"File","Close All","Shift+Ctrl+W","In Windows"
"File","Print","Esc F9","In Windows"
"Mind Map","Insert Subtopic","Insert","Editing Mind Map"
"Mind Map","Finish","Enter","Traversing"
"File","Close","Ctrl+Ц","In Windows"
